a	a!
tret't'oile	t r' e! t' t' o j l' e
tridcaatoi	t r' i! d ts a: t o j
triihpoin	t r' i:! h p o j n
trofimovan	t r o! f' i m o v a n
trohkiman	t r o! h k' i m a n
tropale	t r o! p a l' e
tropan	t r o! p a n
troppažien	t r o! p a zh i^ e n
troppažien	t r o! p p a zh i^ e n
troppua	t r o! p u a
troppua	t r o! p p u a
trosal	t r o! s a l
trotuarat	t r o! t u a r a t
trošin	t r o! sh i^ n
truba	t r u! b a
truva	t r u! v a
truvanke	t r u! v a n k' e
tröhkolösnoi	t r' oe! h k o l' oe s n o j
tröhkomnatnoi	t r' oe! h k o m n a t n o j
tsentral'noi	t s' e! n t r a l' n o j
tsuarin	t s u! a r' i n
tua	t u! a
tuadu	t u! a d u
tuakse	t u! a k s' e
tuaksepäi	t u! a k s' e p' ae j
tuan	t u! a n
tuane	t u! a n' e
tuannes	t u! a n' e s
tuannes	t u! a n' n' e s
tuas	t u! a s
tuaskäte	t u! a s k' ae t' e
tuaste	t u! a s t' e
tuatakse	t u! a t a k s' e
tuatal	t u! a t a l
tuatalleh	t u! a t a l' e h
tuatalleh	t u! a t a l' l' e h
tuatan	t u! a t a n
tuatanke	t u! a t a n k' e
tuatat	t u! a t a t
tuattah	t u! a t a h
tuattah	t u! a t t a h
tuattas	t u! a t a s
tuattas	t u! a t t a s
tuatto	t u! a t o
tuatto	t u! a t t o
tuattoloi	t u! a t o l o j
tuattoloi	t u! a t t o l o j
tuattua	t u! a t u a
tuattua	t u! a t t u a
tuači	t u! a ch i
tuflit	t u! f l' i t
tuhanzien	t u! h a n z' i e n
tuhat	t u! h a t
tuhattu	t u! h a t u
tuhattu	t u! h a t t u
tuhjoikkoh	t u! h j o j k o h
tuhjoikkoh	t u! h j o j k k o h
tuhjon	t u! h j o n
tuhjožikkoh	t u! h j o zh i^ k o h
tuhjožikkoh	t u! h j o zh i^ k k o h
tuhjuo	t u! h j u o
tuhkankarvaine	t u! h k a n k a r v a j n' e
tukat	t u! k a t
tukkii	t u! k' i:
tukkii	t u! k' k' i:
tukun	t u! k u n
tuldas	t u! l d a s
tuldaš	t u! l d a sh
tuldi	t u! l d' i
tuldih	t u! l d' i h
tuldu	t u! l d u
tuldui	t u! l d u j
tulduu	t u! l d u:
tule	t u! l' e
tuleh	t u! l' e h
tuleksendeli	t u! l' e k s' e n d' e l' i
tulelluo	t u! l' e l u o
tulelluo	t u! l' e l l u o
tulemah	t u! l' e m a h
tulemmo	t u! l' e m o
tulemmo	t u! l' e m m o
tulen	t u! l' e n
tulendukohtu	t u! l' e n d u k o h t u
tules	t u! l' e s
tulet	t u! l' e t
tuleta	t u! l' e t a
tuletto	t u! l' e t o
tuletto	t u! l' e t t o
tulgua	t u! l g u a
tuli	t u! l' i
tuliedu	t u! l' i e d u
tuliekse	t u! l' i e k s' e
tuliel	t u! l' i e l
tulien	t u! l' i e n
tulihovut	t u! l' i h o v u t
tulii	t u! l' i:
tuliimmo	t u! l' i: m o
tuliimmo	t u! l' i: m m o
tulimmo	t u! l' i m o
tulimmo	t u! l' i m m o
tulin	t u! l' i n
tulipalot	t u! l' i p a l o t
tulis	t u! l' i s
tulitto	t u! l' i t o
tulitto	t u! l' i t t o
tuliš	t u! l' i sh
tuližit	t u! l' i zh i^ t
tulla	t u! l a
tulla	t u! l l a
tullah	t u! l a h
tullah	t u! l l a h
tullemmo	t u! l' e m o
tullemmo	t u! l' l' e m o
tullemmo	t u! l' e m m o
tullemmo	t u! l' l' e m m o
tullou	t u! l o u
tullou	t u! l l o u
tulluh	t u! l u h
tulluh	t u! l l u h
tullut	t u! l u t
tullut	t u! l l u t
tuloksih	t u! l o k s' i h
tuloksil	t u! l o k s' i l
tulos	t u! l o s
tulostu	t u! l o s t u
tulou	t u! l o u
tulougi	t u! l o u g' i
tulougo	t u! l o u g o
tundemah	t u! n d' e m a h
tundemattomas	t u! n d' e m a t o m a s
tundemattomas	t u! n d' e m a t t o m a s
tundemattomis	t u! n d' e m a t o m' i s
tundemattomis	t u! n d' e m a t t o m' i s
tundemattomua	t u! n d' e m a t o m u a
tundemattomua	t u! n d' e m a t t o m u a
tundenuh	t u! n d' e n u h
tundietah	t u! n d' i e t a h
tundo	t u! n d o
tundui	t u! n d u j
tunduo	t u! n d u o
tunejadstvo	t u n' i j a! c t v a
tungie	t u! n g' i e
tungiekseh	t u! n g' i e k s' e h
tunne	t u! n' e
tunne	t u! n' n' e
tunnemmo	t u! n' e m o
tunnemmo	t u! n' n' e m o
tunnemmo	t u! n' e m m o
tunnemmo	t u! n' n' e m m o
tunnettu	t u! n' e t u
tunnettu	t u! n' n' e t u
tunnettu	t u! n' e t t u
tunnettu	t u! n' n' e t t u
tunnustat	t u! n u s t a t
tunnustat	t u! n n u s t a t
tunnustimmo	t u! n u s t' i m o
tunnustimmo	t u! n n u s t' i m o
tunnustimmo	t u! n u s t' i m m o
tunnustimmo	t u! n n u s t' i m m o
tunzi	t u! n z' i
tuodi	t u! o d' i
tuodih	t u! o d' i h
tuodihgi	t u! o d' i h g' i
tuogua	t u! o g u a
tuohen	t u! o h' e n
tuohikauhaine	t u! o h' i k a u h a j n' e
tuohipalažen	t u! o h' i p a l a zh e n
tuohipoimičču	t u! o h' i p o j m' i ch u
tuohipoimičču	t u! o h' i p o j m' i ch ch u
tuohtu	t u! o h t u
tuomah	t u! o m a h
tuommo	t u! o m o
tuommo	t u! o m m o
tuona	t u! o n a
tuoppajärvel	t u! o p a j ae r v' e l
tuoppajärvel	t u! o p p a j ae r v' e l
tuos	t u! o s
tuot	t u! o t
tuou	t u! o u
turbehenkarvaine	t u! r b' e h' e n k a r v a j n' e
turgenevan	t u! r g' e n' e v a n
turistua	t u! r' i s t u a
turkilois	t u! r k' i l o j s
turtsiespäi	t u! r t s' i e s p' ae j
tuskat	t u! s k a t
tusku	t u! s k u
tuskupaginoin	t u! s k u p a g' i n o j n
tutkimah	t u! t k' i m a h
tutkimus	t u! t k' i m u s
tutkin	t u! t k' i n
tutkittih	t u! t k' i t' i h
tutkittih	t u! t k' i t' t' i h
tuttavan	t u! t a v a n
tuttavan	t u! t t a v a n
tuttavat	t u! t a v a t
tuttavat	t u! t t a v a t
tuttavoilluo	t u! t a v o j l u o
tuttavoilluo	t u! t t a v o j l u o
tuttavoilluo	t u! t a v o j l l u o
tuttavoilluo	t u! t t a v o j l l u o
tuttavu	t u! t a v u
tuttavu	t u! t t a v u
tuttavuimmo	t u! t a v u j m o
tuttavuimmo	t u! t t a v u j m o
tuttavuimmo	t u! t a v u j m m o
tuttavuimmo	t u! t t a v u j m m o
tuttu	t u! t u
tuttu	t u! t t u
tutustuimmo	t u! t u s t u j m o
tutustuimmo	t u! t u s t u j m m o
tutut	t u! t u t
tuulen	t u:! l' e n
tuulenke	t u:! l' e n k' e
tuulestemmattuloi	t u:! l' e s t' e m a t u l o j
tuulestemmattuloi	t u:! l' e s t' e m m a t u l o j
tuulestemmattuloi	t u:! l' e s t' e m a t t u l o j
tuulestemmattuloi	t u:! l' e s t' e m m a t t u l o j
tuuli	t u:! l' i
tuulis	t u:! l' i s
tuulokses	t u:! l o k s' e s
tuuččua	t u:! ch u a
tuuččua	t u:! ch ch u a
tuvva	t u! v a
tuvva	t u! v v a
tuvvah	t u! v a h
tuvvah	t u! v v a h
tyhjiä	t' y! h j i ae
tyhjy	t' y! h j y
tyhjän	t' y! h j ae n
tyhjät	t' y! h j ae t
typitynny	t' y! p' i t' y n' y
typitynny	t' y! p' i t' y n' n' y
tytettua	t' y! t' e t u a
tytettua	t' y! t' e t t u a
tyttilöin	t' y! t' i l' oe j n
tyttilöin	t' y! t' t' i l' oe j n
tyttyö	t' y! t' y oe
tyttyö	t' y! t' t' y oe
tyttärel	t' y! t' ae r' e l
tyttärel	t' y! t' t' ae r' e l
tyttärele	t' y! t' ae r' e l' e
tyttärele	t' y! t' t' ae r' e l' e
tyttäret	t' y! t' ae r' e t
tyttäret	t' y! t' t' ae r' e t
tyttärienke	t' y! t' ae r' i e n k' e
tyttärienke	t' y! t' t' ae r' i e n k' e
tyttäril	t' y! t' ae r' i l
tyttäril	t' y! t' t' ae r' i l
tyttärilöile	t' y! t' ae r' i l' oe j l' e
tyttärilöile	t' y! t' t' ae r' i l' oe j l' e
tyttö	t' y! t' oe
tyttö	t' y! t' t' oe
tyttöbunukku	t' y! t' oe b u n u k u
tyttöbunukku	t' y! t' t' oe b u n u k u
tyttöbunukku	t' y! t' oe b u n u k k u
tyttöbunukku	t' y! t' t' oe b u n u k k u
tyttöine	t' y! t' oe j n' e
tyttöine	t' y! t' t' oe j n' e
tyttökasan	t' y! t' oe k a s a n
tyttökasan	t' y! t' t' oe k a s a n
tyttölöi	t' y! t' oe l' oe j
tyttölöi	t' y! t' t' oe l' oe j
tyttölöil	t' y! t' oe l' oe j l
tyttölöil	t' y! t' t' oe l' oe j l
tyttölöin	t' y! t' oe l' oe j n
tyttölöin	t' y! t' t' oe l' oe j n
tyttölöinke	t' y! t' oe l' oe j n k' e
tyttölöinke	t' y! t' t' oe l' oe j n k' e
tyttölöl	t' y! t' oe l' oe l
tyttölöl	t' y! t' t' oe l' oe l
tyttösty	t' y! t' oe s t' y
tyttösty	t' y! t' t' oe s t' y
tyttözet	t' y! t' oe z' e t
tyttözet	t' y! t' t' oe z' e t
tytär	t' y! t' ae r
tytärdy	t' y! t' ae r d' y
tytöl	t' y! t' oe l
tytön	t' y! t' oe n
tytössy	t' y! t' oe s' y
tytössy	t' y! t' oe s' s' y
tytöt	t' y! t' oe t
tyveh	t' y! v' e h
tyvellyö	t' y! v' e l' y oe
tyvellyö	t' y! v' e l' l' y oe
tyves	t' y! v' e s
tyyneh	t' y:! n' e h
tyynel	t' y:! n' e l
tyynen	t' y:! n' e n
työ	t' y! oe
työndi	t' y! oe n d' i
työndiä	t' y! oe n d' i ae
työndämäh	t' y! oe n d' ae m' ae h
työndänyh	t' y! oe n d' ae n' y h
työndää	t' y! oe n d' ae:
työnettyy	t' y! oe n' e t' y:
työnettyy	t' y! oe n' e t' t' y:
työnä	t' y! oe n' ae
työnäldämmö	t' y! oe n' ae l d' ae m' oe
työnäldämmö	t' y! oe n' ae l d' ae m' m' oe
työnämmö	t' y! oe n' ae m' oe
työnämmö	t' y! oe n' ae m' m' oe
työnän	t' y! oe n' ae n
työnät	t' y! oe n' ae t
työttih	t' y! oe t' i h
työttih	t' y! oe t' t' i h
työtty	t' y! oe t' y
työtty	t' y! oe t' t' y
työtäh	t' y! oe t' ae h
tädä	t' ae! d' ae
täh	t' ae! h
täkse	t' ae! k s' e
täl	t' ae! l
tälle	t' ae! l' e
tälle	t' ae! l' l' e
tämpäi	t' ae! m p' ae j
tämä	t' ae! m' ae
tämähäi	t' ae! m' ae h' ae j
tämän	t' ae! m' ae n
tämänkerdaine	t' ae! m' ae n k' e r d a j n' e
tämänpäiväine	t' ae! m' ae n p' ae j v' ae j n' e
tämänpäiväizet	t' ae! m' ae n p' ae j v' ae j z' e t
tämänpäiväzenny	t' ae! m' ae n p' ae j v' ae z' e n' y
tämänpäiväzenny	t' ae! m' ae n p' ae j v' ae z' e n' n' y
tänne	t' ae! n' e
tänne	t' ae! n' n' e
tännepäi	t' ae! n' e p' ae j
tännepäi	t' ae! n' n' e p' ae j
tännessäh	t' ae! n' e s' ae h
tännessäh	t' ae! n' n' e s' ae h
tännessäh	t' ae! n' e s' s' ae h
tännessäh	t' ae! n' n' e s' s' ae h
tänä	t' ae! n' ae
tänäpäi	t' ae! n' ae p' ae j
tänäpäigi	t' ae! n' ae p' ae j g' i
tänävoun	t' ae! n' ae v o u n
tänävuon	t' ae! n' ae v u o n
tärgei	t' ae! r g' e j
tärgeimbinny	t' ae! r g' e j m b' i n' y
tärgeimbinny	t' ae! r g' e j m b' i n' n' y
tärgevin	t' ae! r g' e v' i n
tärgiedy	t' ae! r g' i e d' y
tärgieh	t' ae! r g' i e h
tärgienny	t' ae! r g' i e n' y
tärgienny	t' ae! r g' i e n' n' y
täs	t' ae! s
täspäi	t' ae! s p' ae j
tässäh	t' ae! s' ae h
tässäh	t' ae! s' s' ae h
tävvel	t' ae! v' e l
tävvel	t' ae! v' v' e l
tävven	t' ae! v' e n
tävven	t' ae! v' v' e n
tävvet	t' ae! v' e t
tävvet	t' ae! v' v' e t
tävvy	t' ae! v' y
tävvy	t' ae! v' v' y
täydyi	t' ae! y d' y j
täydymäh	t' ae! y d' y m' ae h
täydynyh	t' ae! y d' y n' y h
täydyy	t' ae! y d' y:
täytettih	t' ae! y t' e t' i h
täytettih	t' ae! y t' e t' t' i h
täytetty	t' ae! y t' e t' y
täytetty	t' ae! y t' e t' t' y
täytimmö	t' ae! y t' i m' oe
täytimmö	t' ae! y t' i m' m' oe
täytti	t' ae! y t' i
täytti	t' ae! y t' t' i
täyttiekse	t' ae! y t' i e k s' e
täyttiekse	t' ae! y t' t' i e k s' e
täytty	t' ae! y t' y
täytty	t' ae! y t' t' y
täyttäy	t' ae! y t' ae y
täyttäy	t' ae! y t' t' ae y
täytyi	t' ae! y t' y j
täytyn	t' ae! y t' y n
täyzi	t' ae! y z' i
täyzivaldažet	t' ae! y z' i v a l d a zh e t
tää	t' ae:!
täähgo	t' ae:! h g o
tääpäi	t' ae:! p' ae j
täävvet	t' ae:! v' e t
täävvet	t' ae:! v' v' e t
täčöitävvet	t' ae! ch oe j t' ae v' e t
täčöitävvet	t' ae! ch oe j t' ae v' v' e t
töt'	t' oe! t'
töytty	t' oe! y t' y
töytty	t' oe! y t' t' y
u	u!
ual	u! a l
ualpäi	u! a l p' ae j
uatui	u! a t u j
ubehen	u! b' e h' e n
uberie	u! b' e r' i e
uberikkua	u! b' e r' i k u a
uberikkua	u! b' e r' i k k u a
uberiu	u! b' e r' i u
ufatkua	u! f a t k u a
ugodih	u! g o d' i h
ugrilaizet	u! g r' i l a j z' e t
uhkahtih	u! h k a h t' i h
uhohtin	u! h o h t' i n
uhrataanko	u! h r a t a: n k o
uhrukse	u! h r u k s' e
uidaa	u! j d a:
uidamah	u! j d a m a h
uidelemah	u! j d' e l' e m a h
uidelou	u! j d' e l o u
uijatettih	u! j a t' e t' i h
uijatettih	u! j a t' e t' t' i h
uijeltih	u! j e l t' i h
uinoi	u! j n o j
uinoimmo	u! j n o j m o
uinoimmo	u! j n o j m m o
ukko	u! k o
ukko	u! k k o
ukkorukku	u! k o r u k u
ukkorukku	u! k k o r u k u
ukkorukku	u! k o r u k k u
ukkorukku	u! k k o r u k k u
ukonke	u! k o n k' e
ukonvemmel	u! k o n v' e m' e l
ukonvemmel	u! k o n v' e m' m' e l
ukrainal	u! k r a j n a l
ukrainale	u! k r a j n a l' e
ukrainat	u! k r a j n a t
ukraitsoi	u! k r a j t s o j
uksen	u! k s' e n
uksensuus	u! k s' e n s u: s
uksisama	u! k s' i s a m a
ulica	u! l' i ts a
ulitsa	u! l' i t s a
ulizi	u! l' i z' i
umbua	u! m b u a
umbuau	u! m b u a u
umilenije	u m' i l' e! n' i i
undu	u! n d u
uneh	u! n' e h
unet	u! n' e t
uni	u! n' i
universit'ettah	u! n' i v' e r s' i t' e t a h
universit'ettah	u! n' i v' e r s' i t' e t t a h
universitietas	u! n' i v' e r s' i t' i e t a s
universitietat	u! n' i v' e r s' i t' i e t a t
universitiettah	u! n' i v' e r s' i t' i e t a h
universitiettah	u! n' i v' e r s' i t' i e t t a h
universitiettu	u! n' i v' e r s' i t' i e t u
universitiettu	u! n' i v' e r s' i t' i e t t u
universitiettua	u! n' i v' e r s' i t' i e t u a
universitiettua	u! n' i v' e r s' i t' i e t t u a
unohta	u! n o h t a
unohtahes	u! n o h t a h' e s
unohtannut	u! n o h t a n u t
unohtannut	u! n o h t a n n u t
unohtetanneh	u! n o h t' e t a n' e h
unohtetanneh	u! n o h t' e t a n' n' e h
unohtettas	u! n o h t' e t a s
unohtettas	u! n o h t' e t t a s
unohtettaš	u! n o h t' e t a sh
unohtettaš	u! n o h t' e t t a sh
unohtettih	u! n o h t' e t' i h
unohtettih	u! n o h t' e t' t' i h
unohtin	u! n o h t' i n
unohtua	u! n o h t u a
unohtunnuh	u! n o h t u n u h
unohtunnuh	u! n o h t u n n u h
uponnuh	u! p o n u h
uponnuh	u! p o n n u h
uponnuot	u! p o n u o t
uponnuot	u! p o n n u o t
upotakkua	u! p o t a k u a
upotakkua	u! p o t a k k u a
upotan	u! p o t a n
upottajien	u! p o t a j i e n
upottajien	u! p o t t a j i e n
uppoi	u! p o j
uppoi	u! p p o j
uppoin	u! p o j n
uppoin	u! p p o j n
uppuo	u! p u o
uppuo	u! p p u o
uppuomah	u! p u o m a h
uppuomah	u! p p u o m a h
uppuou	u! p u o u
uppuou	u! p p u o u
upravlenieh	u! p r a v l' e n' i e h
ura	u r a!
uravuigo	u! r a v u j g o
urizi	u! r' i z' i
urokal	u! r o k a l
urokat	u! r o k a t
urokoil	u! r o k o j l
urokoispäi	u! r o k o j s p' ae j
uronpuolespäi	u! r o n p u o l' e s p' ae j
urovne	u! r a v n' i
urualal	u! r u a l a l
usat	u! s a t
uskaldettih	u! s k a l d' e t' i h
uskaldettih	u! s k a l d' e t' t' i h
usko	u! s k o
uskoittelun	u! s k o j t' e l u n
uskoittelun	u! s k o j t' t' e l u n
uskomah	u! s k o m a h
uskon	u! s k o n
uskota	u! s k o t a
uskotgo	u! s k o t g o
uskottogo	u! s k o t o g o
uskottogo	u! s k o t t o g o
uskovazet	u! s k o v a z' e t
uskovažet	u! s k o v a zh e t
uskuo	u! s k u o
usova	u! s o v a
utjärveh	u! t j ae r v' e h
utjärvele	u! t j ae r v' e l' e
utjärveläžet	u! t j ae r v' e l' ae zh e t
utjärven	u! t j ae r v' e n
utjärves	u! t j ae r v' e s
utjärvi	u! t j ae r v' i
uudeh	u:! d' e h
uudizis	u:! d' i z' i s
uuličal	u:! l' i ch a l
uuliččoih	u:! l' i ch o j h
uuliččoih	u:! l' i ch ch o j h
uut	u:! t
uutates	u:! t a t' e s
uuttu	u:! t u
uuttu	u:! t t u
uuzi	u:! z' i
uuzii	u:! z' i:
uuzis	u:! z' i s
uveh	u! v' e h
uvvekse	u! v' e k s' e
uvvekse	u! v' v' e k s' e
uvvel	u! v' e l
uvvel	u! v' v' e l
uvven	u! v' e n
uvven	u! v' v' e n
uvvenuvvikkaine	u! v' e n u v' i k a j n' e
uvvenuvvikkaine	u! v' v' e n u v' i k a j n' e
uvvenuvvikkaine	u! v' e n u v' v' i k a j n' e
uvvenuvvikkaine	u! v' v' e n u v' v' i k a j n' e
uvvenuvvikkaine	u! v' e n u v' i k k a j n' e
uvvenuvvikkaine	u! v' v' e n u v' i k k a j n' e
uvvenuvvikkaine	u! v' e n u v' v' i k k a j n' e
uvvenuvvikkaine	u! v' v' e n u v' v' i k k a j n' e
uvves	u! v' e s
uvves	u! v' v' e s
uvvessah	u! v' e s a h
uvvessah	u! v' v' e s a h
uvvessah	u! v' e s s a h
uvvessah	u! v' v' e s s a h
uvvet	u! v' e t
uvvet	u! v' v' e t
učiitel'at	u! ch i: t' e l' a t
učitelnitsa	u ch i! t' i l' n' i c a
učitelät	u! ch i t' e l' ae t
užas	u! zh a s
vaazazen	v a:! z a z' e n
vagaumieliine	v a! g a u m' i e l' i: n' e
vagavua	v a! g a v u a
vagavui	v a! g a v u j
vagoidu	v a! g o j d u
vagoin	v a! g o j n
vagoižikot	v a! g o j zh i^ k o t
vagoloi	v a! g o l o j
vagoštu	v a! g o sh t u
vaguo	v a! g u o
vahajärves	v a! h a j ae r v' e s
vahajärvespäi	v a! h a j ae r v' e s p' ae j
vahingokse	v a! h' i n g o k s' e
vahingolližet	v a! h' i n g o l' i zh e t
vahingolližet	v a! h' i n g o l' l' i zh e t
vahingot	v a! h' i n g o t
vahjärvehpäi	v a! h j ae r v' e h p' ae j
vahjärves	v a! h j ae r v' e s
vahjärvi	v a! h j ae r v' i
vahnah	v a! h n a h
vahnal	v a! h n a l
vahnale	v a! h n a l' e
vahnalluo	v a! h n a l u o
vahnalluo	v a! h n a l l u o
vahnan	v a! h n a n
vahnaniimmo	v a! h n a n' i: m o
vahnaniimmo	v a! h n a n' i: m m o
vahnat	v a! h n a t
vahnate	v a! h n a t' e
vahnembakse	v a! h n' e m b a k s' e
vahnembannu	v a! h n' e m b a n u
vahnembannu	v a! h n' e m b a n n u
vahnembat	v a! h n' e m b a t
vahnembi	v a! h n' e m b' i
vahnembien	v a! h n' e m b' i e n
vahnembii	v a! h n' e m b' i:
vahnembua	v a! h n' e m b u a
vahnin	v a! h n' i n
vahnoi	v a! h n o j
vahnoin	v a! h n o j n
vahnois	v a! h n o j s
vahnu	v a! h n u
vahnua	v a! h n u a
vahnuksen	v a! h n u k s' e n
vahnušši	v a! h n u sh i^
vahnušši	v a! h n u sh sh i^
vahtoi	v a! h t o j
vai	v a! j
vaigei	v a! j g' e j
vaigevukset	v a! j g' e v u k s' e t
vaigiel	v a! j g' i e l
vaigu	v a! j g u
vaihtetah	v a! j h t' e t a h
vaihtettih	v a! j h t' e t' i h
vaihtettih	v a! j h t' e t' t' i h
vaihtoin	v a! j h t o j n
vaihtua	v a! j h t u a
vaihtus	v a! j h t u s
vaikastui	v a! j k a s t u j
vaikastuttih	v a! j k a s t u t' i h
vaikastuttih	v a! j k a s t u t' t' i h
vaikkaine	v a! j k a j n' e
vaikkaine	v a! j k k a j n' e
vaikkani	v a! j k a n' i
vaikkani	v a! j k k a n' i
vaiku	v a! j k u
vaikuttai	v a! j k u t a j
vaikuttai	v a! j k u t t a j
vaikutti	v a! j k u t' i
vaikutti	v a! j k u t' t' i
vain	v a! j n
vaivaine	v a! j v a j n' e
vaivaloine	v a! j v a l o j n' e
vakkipiässäh	v a! k' i p' i ae s' ae h
vakkipiässäh	v a! k' k' i p' i ae s' ae h
vakkipiässäh	v a! k' i p' i ae s' s' ae h
vakkipiässäh	v a! k' k' i p' i ae s' s' ae h
vakkivierahan	v a! k' i v' i e r a h a n
vakkivierahan	v a! k' k' i v' i e r a h a n
val'a	v a! l' a
valajes	v a! l a j e s
valamah	v a! l a m a h
valamoih	v a! l a m o j h
valamoin	v a! l a m o j n
valamois	v a! l a m o j s
valamoispäi	v a! l a m o j s p' ae j
valamon	v a! l a m o n
valas	v a! l a s
valatusvezii	v a! l a t u s v' e z' i:
valdivon	v a! l d' i v o n
valdu	v a! l d u
valduniekannu	v a! l d u n' i e k a n u
valduniekannu	v a! l d u n' i e k a n n u
valduniekat	v a! l d u n' i e k a t
valduvahnembi	v a! l d u v a h n' e m b' i
valella	v a! l' e l a
valella	v a! l' e l l a
valentina	v a l' e n t' i! n a
valerua	v a! l' e r u a
valet	v a! l' e t
valgamos	v a! l g a m o s
valgei	v a! l g' e j
valgeni	v a! l g' e n' i
valgiedu	v a! l g' i e d u
valgieh	v a! l g' i e h
valgiel	v a! l g' i e l
valgieloi	v a! l g' i e l o j
valgieloil	v a! l g' i e l o j l
valgiembakse	v a! l g' i e m b a k s' e
valgiembi	v a! l g' i e m b' i
valgien	v a! l g' i e n
valgiet	v a! l g' i e t
valgisiniristaine	v a! l g' i s' i n' i r' i s t a j n' e
valgoittua	v a! l g o j t u a
valgoittua	v a! l g o j t t u a
valietal	v a! l' i e t a l
valietallou	v a! l' i e t a l o u
valietallou	v a! l' i e t a l l o u
valietan	v a! l' i e t a n
valiettah	v a! l' i e t a h
valiettah	v a! l' i e t t a h
valiettaine	v a! l' i e t a j n' e
valiettaine	v a! l' i e t t a j n' e
vallal	v a! l a l
vallal	v a! l l a l
vallan	v a! l a n
vallan	v a! l l a n
vallanvaihto	v a! l a n v a j h t o
vallanvaihto	v a! l l a n v a j h t o
vallas	v a! l a s
vallas	v a! l l a s
vallasolijoile	v a! l a s o l' i j o j l' e
vallasolijoile	v a! l l a s o l' i j o j l' e
vallasolijoin	v a! l a s o l' i j o j n
vallasolijoin	v a! l l a s o l' i j o j n
vallasolijois	v a! l a s o l' i j o j s
vallasolijois	v a! l l a s o l' i j o j s
vallatoi	v a! l a t o j
vallatoi	v a! l l a t o j
vallittuu	v a! l' i t u:
vallittuu	v a! l' l' i t u:
vallittuu	v a! l' i t t u:
vallittuu	v a! l' l' i t t u:
valličin	v a! l' i ch i n
valličin	v a! l' l' i ch i n
valličči	v a! l' i ch i
valličči	v a! l' l' i ch i
valličči	v a! l' i ch ch i
valličči	v a! l' l' i ch ch i
valliččijes	v a! l' i ch i j e s
valliččijes	v a! l' l' i ch i j e s
valliččijes	v a! l' i ch ch i j e s
valliččijes	v a! l' l' i ch ch i j e s
valmehekse	v a! l m' e h' e k s' e
valmis	v a! l m' i s
valmistannuh	v a! l m' i s t a n u h
valmistannuh	v a! l m' i s t a n n u h
valmistin	v a! l m' i s t' i n
valmištua	v a! l m' i sh t u a
valoi	v a! l o j
valpas	v a! l p a s
valua	v a! l u a
valui	v a! l u j
valuttua	v a! l u t u a
valuttua	v a! l u t t u a
valvattau	v a! l v a t a u
valvattau	v a! l v a t t a u
vam	v a! m
van'a	v a! n' a
vandyševan	v a! n d' y sh e v a n
vangittuu	v a! n g' i t u:
vangittuu	v a! n g' i t t u:
vanhakse	v a! n h a k s' e
vanhembat	v a! n h' e m b a t
vanhembažien	v a! n h' e m b a zh i^ e n
vanhembi	v a! n h' e m b' i
vanhembil	v a! n h' e m b' i l
vanhu	v a! n h u
vanhus	v a! n h u s
varain	v a! r a j n
varaitandan	v a! r a j t a n d a n
varaitettu	v a! r a j t' e t u
varaitettu	v a! r a j t' e t t u
varaitteli	v a! r a j t' e l' i
varaitteli	v a! r a j t' t' e l' i
varaitti	v a! r a j t' i
varaitti	v a! r a j t' t' i
varakse	v a! r a k s' e
vararattahan	v a! r a r a t a h a n
vararattahan	v a! r a r a t t a h a n
varastoh	v a! r a s t o h
varata	v a! r a t a
varaten	v a! r a t' e n
varavo	v a! r a v o
varavospäivin	v a! r a v o s p' ae j v' i n
varavožilleh	v a! r a v o zh i^ l' e h
varavožilleh	v a! r a v o zh i^ l' l' e h
varavui	v a! r a v u j
varbah	v a! r b a h
varbahien	v a! r b a h' i e n
vardoittavakse	v a! r d o j t a v a k s' e
vardoittavakse	v a! r d o j t t a v a k s' e
vardoiči	v a! r d o j ch i
vardoičči	v a! r d o j ch i
vardoičči	v a! r d o j ch ch i
vardoiččii	v a! r d o j ch i:
vardoiččii	v a! r d o j ch ch i:
vardoiččijannu	v a! r d o j ch i j a n u
vardoiččijannu	v a! r d o j ch ch i j a n u
vardoiččijannu	v a! r d o j ch i j a n n u
vardoiččijannu	v a! r d o j ch ch i j a n n u
vardoiččou	v a! r d o j ch o u
vardoiččou	v a! r d o j ch ch o u
varjo	v a! r j o
varlamov	v a! r l a m o v
varmah	v a! r m a h
varmu	v a! r m u
varmuol	v a! r m u o l
varoit	v a! r o j t
varoitti	v a! r o j t' i
varoitti	v a! r o j t' t' i
varrasta	v a! r a s t a
varrasta	v a! r r a s t a
varrastettaš	v a! r a s t' e t a sh
varrastettaš	v a! r r a s t' e t a sh
varrastettaš	v a! r a s t' e t t a sh
varrastettaš	v a! r r a s t' e t t a sh
varua	v a! r u a
varuat	v a! r u a t
varuksis	v a! r u k s' i s
varustamah	v a! r u s t a m a h
varustettih	v a! r u s t' e t' i h
varustettih	v a! r u s t' e t' t' i h
varustettuloih	v a! r u s t' e t u l o j h
varustettuloih	v a! r u s t' e t t u l o j h
varustettuu	v a! r u s t' e t u:
varustettuu	v a! r u s t' e t t u:
varustua	v a! r u s t u a
varustuksis	v a! r u s t u k s' i s
varvan	v a! r v a n
varzien	v a! r z' i e n
vas'a	v a! s' a
vas'an	v a! s' a n
vas'ka	v a! s' k a
vas'oin	v a! s' o j n
vas'ois	v a! s' o j s
